Simulation,Restime ,Current
a_gra1,1.36,3.195048229
a_gra2,1.908846154,2.973697582
a_gra3,1.4275,2.633370179
a_gra4,1.548125,2.936522376
a_gra5,0.98,4.096355629
a_gra6,2.3055,2.772855698
a_gra7,1.802777778,3.179273354
a_gra9,0.564285714,1.46529921
a_gra10,0.65,2.125934337
a_gra11,1.42,3.385393828
a_gra12,1.597142857,3.271560395
a_gra13,1.294166667,3.664831933
a_gra14,1.774285714,3.790018248
a_gra15,0.931,2.69405678
a_gra16,2.131818182,2.931591602
a_gra17,3.3825,3.319964063
a_gra18,0.425833333,3.54392248
a_gra19,1.52375,3.016377381
a_gra20,1.624,2.493558382
a_gra21,0.743333333,3.664452906
a_gra22,0.932857143,2.358970453
a_gra23,1.6515,2.492625038
a_gra24,0.92,3.14051026
a_gra25,2.703,3.318536467
a_gra26,2.673571429,3.354547718
a_gra27,2.284166667,2.303422366
a_gra28,2.091875,2.842008258
a_gra29,2.25375,3.804909801
a_gra31,2.204615385,2.217129784
a_gra32,1.28,3.83388267
a_gra33,1.993666667,2.199520154
a_gra35,2.0275,3.016825188
a_gra36,0.5125,3.302181087
a_gra37,2.121875,3.733753818
a_gra38,1.86375,2.699962038
a_gra39,1.5909375,2.643811467
a_gra40,2.480833333,4.082362502
a_gra41,1.325,3.469366429
a_gra42,2.755,2.138755028
a_gra43,1.89,2.82914249
a_gra44,2.026538462,2.506277151
a_gra47,2.146666667,3.978419309
a_gra48,0.286666667,3.502052878
a_gra50,4.36,1.978994259
a_gra51,0.712142857,2.445756811
a_gra52,0.085,1.739901679
a_gra53,1.34,4.08139726
a_gra54,0.811111111,2.909224375
a_gra55,2.235,3.35809125
a_gra56,2.517777778,2.807061102
a_gra57,0.0525,1.783786029
a_gra58,2.990625,3.054615772
a_gra59,2.09,3.594220518
a_gra60,2.354545455,2.715700153
a_gra61,1.241,2.945362877
a_gra63,2.088333333,3.97252224
a_gra64,2.305,2.600835013
a_gra65,0.626428571,2.247497439
a_gra66,1.0446875,2.870289721
a_gra68,0.053333333,3.949312225
a_gra69,0.99125,2.491293177
a_gra70,1.470714286,2.876361101
a_gra71,0.8925,1.347527757
a_gra72,1.7075,3.412245586
a_gra73,1.925714286,1.784006457
a_gra74,1.111,3.954949837
a_gra75,0.933125,3.177072275
a_gra76,3.215,3.437465794
a_gra77,2.108333333,2.262377311
a_gra78,0.015,1.90158143
a_gra79,1.606428571,2.79458223
a_gra80,1.24875,3.15528693
a_gra81,1.225909091,2.27395968
a_gra82,0.683333333,3.599672535
a_gra83,0.04,0.63796042
a_gra84,0.405,1.810319121
a_gra85,1.581428571,2.738630916
a_gra86,1.241666667,2.690534477
a_gra87,1.485,1.923365345
a_gra88,0.822916667,2.515615469
a_gra90,1.347222222,2.185265875
