Simulation,Restime,Current
T_10ns_1,0.46625,3.61505902
T_10ns_2,3.1375,1.33819729
T_10ns_3,1.4696875,1.900504672
T_10ns_4,1.44625,2.254643826
T_10ns_5,0.894375,3.308097297
T_10ns_6,0.429375,3.751848941
T_10ns_7,2.323461538,1.133234337
T_10ns_8,1.3,2.761248552
T_10ns_9,0.3259375,4.402593143
T_10ns_10,2.0125,1.458659998
T_10ns_11,1.334375,2.496100282
T_10ns_12,0.255625,4.029706246
T_10ns_13,0.37875,4.246840655
T_10ns_14,1.619375,2.41776181
T_10ns_15,0.6203125,4.035163032
T_10ns_16,1.224375,3.084136809
T_10ns_18,1.821875,1.754287999
T_10ns_21,0.125625,4.096990577
T_10ns_22,0.896,1.315186819
T_10ns_24,1.0503125,2.820305373
T_10ns_25,0.46,3.867032836
T_10ns_26,0.8190625,3.593473785
T_10ns_27,1.6790625,2.071001003
T_10ns_28,0.6603125,3.519396111
T_10ns_29,0.44625,4.011746696
T_10ns_30,0.5234375,4.03682475
T_10ns_31,0.434375,3.953802906
T_10ns_33,1.0503125,2.790163266
T_10ns_34,0.915,1.572130091
T_10ns_35,1.899375,1.54467421
T_10ns_36,1.832916667,1.22158992
T_10ns_37,1.05875,3.189297214
T_10ns_38,1.181875,2.400417838
T_10ns_39,1.6765,1.390063553
T_10ns_40,1.1440625,2.34596912
T_10ns_41,0.3425,1.209683419
T_10ns_42,0.1846875,4.318562669
T_10ns_43,0.532777778,1.510943288
T_10ns_44,0.645,3.484632473
T_10ns_45,0.4459375,3.773970621
T_10ns_46,1.5321875,1.985762324
T_10ns_47,0.7246875,3.71622741
T_10ns_48,0.458125,3.697064899
T_10ns_49,1.13625,2.56598013
T_10ns_50,1.426428571,0.903821449
T_10ns_51,0.7203125,2.010085163
T_10ns_52,0.265625,3.565243696
T_10ns_54,1.050454545,1.416253406
T_10ns_55,0.5515625,2.511156785
T_10ns_56,1.785714286,1.558199425
T_10ns_57,0.26625,4.210746102
T_10ns_58,0.791666667,1.250025462
T_10ns_59,0.331666667,2.339241785
T_10ns_60,1.21875,1.238828472
T_10ns_61,0.595,1.356025607
T_10ns_62,0.625,2.577211913
T_10ns_64,0.18375,0.58514988
T_10ns_65,0.825,2.397842766
T_10ns_66,0.768888889,1.628110029
T_10ns_67,0.609,1.604090901
T_10ns_68,0.16875,3.700564965
T_10ns_69,0.636818182,1.366643245
T_10ns_70,0.50875,2.637181281
T_10ns_71,0.2590625,3.889185045
T_10ns_73,0.5703125,3.229908747
T_10ns_74,1.471428571,0.994798014
T_10ns_75,0.4475,2.643123681
T_10ns_76,0.4475,2.633066897
T_10ns_77,1.012,2.0378054
T_10ns_79,1.085714286,1.247758793
T_10ns_80,0.1825,1.859498732
T_10ns_81,0.8165625,1.275507549
T_10ns_82,0.747,1.244090268
T_10ns_83,0.2428125,3.890390935
T_10ns_84,1.257727273,1.602785368
T_10ns_86,0.398571429,1.805141025
T_10ns_87,1.044090909,1.151349885
T_10ns_88,0.2315625,3.971890358
T_10ns_89,0.3846875,3.255385237
T_10ns_90,1.37,1.485131657
T_10ns_91,0.7971875,2.161505132
T_10ns_92,0.790769231,1.317895079
T_10ns_93,0.045,1.549674634
T_10ns_94,0.5578125,2.04452043
T_10ns_95,0.7271875,2.206669225
T_10ns_96,1.98625,1.141147529
T_10ns_97,0.145,0.748682249
T_10ns_98,1.097,1.019878445
T_10ns_99,0.809444444,1.783196378
